,TIME,COINS,TENDENCY,SKILL
0,1.03,3,1,1
0,2.05,5,2,2
0,3.06,10,3,2
0,4.08,13,3,3
0,5.08,15,4,3
0,6.09,19,4,4
0,7.1,23,5,4
0,8.12,28,6,5
0,9.12,31,7,5
0,10.13,38,8,5
0,11.16,40,9,6
0,12.17,42,9,6
0,13.17,47,10,6
0,14.18,49,10,6
0,15.22,53,11,7
0,16.22,58,12,7
0,17.24,63,13,7
0,18.25,66,14,7
0,19.27,68,14,8
0,20.28,70,15,8
0,21.29,76,16,8
0,22.3,81,17,8
0,23.31,83,17,8
0,24.31,85,18,8
0,25.32,85,18,8
0,26.33,87,18,9
0,27.34,90,19,9
0,28.35,94,19,9
0,29.37,101,21,9
0,30.37,104,21,9
0,31.38,106,22,9
0,32.42,109,22,9
0,33.42,109,22,9
0,34.46,111,23,10
0,35.46,113,23,10
0,36.47,119,24,10
0,37.48,123,25,10
0,38.49,126,26,10
0,39.5,128,26,10
0,40.51,131,27,10
0,41.82,137,28,11
0,42.86,138,28,11
0,43.87,141,29,11
0,44.88,148,30,11
0,45.88,155,32,11
0,46.89,158,32,11
0,47.89,161,33,11
0,48.9,161,33,11
0,49.9,166,34,11
0,50.91,167,34,11
0,52.35,170,34,12
0,53.36,176,36,12
0,54.38,182,37,12
0,55.39,188,38,12
0,56.43,195,40,12
0,57.44,197,40,12
0,58.46,198,40,12
0,59.47,201,41,12
0,60.49,208,42,12
0,61.5,208,42,12
0,62.97,209,42,13
0,63.98,213,43,13
0,64.99,219,44,13
0,66.01,225,45,13
0,67.02,230,46,13
0,68.02,234,47,13
0,69.04,238,48,13
0,70.06,243,49,13
0,71.09,248,50,13
0,72.1,251,50,13
0,73.1,253,51,13
0,74.11,253,51,13
0,75.62,256,51,14
0,76.63,260,52,14
0,77.65,266,54,14
0,78.66,271,54,14
0,79.67,271,55,14
0,80.68,276,56,14
0,81.69,283,57,14
0,82.69,288,58,14
0,83.7,290,58,14
0,84.72,294,59,14
0,85.74,298,60,14
0,86.76,304,61,14
0,87.78,311,63,14
0,88.81,311,63,14
0,90.22,312,63,15
0,91.22,314,63,15
0,92.24,320,64,15
0,93.26,326,65,15
0,94.29,328,66,15
0,95.3,332,67,15
0,96.31,339,68,15
0,97.32,345,69,15
0,98.34,351,71,15
0,99.34,359,72,15
0,100.35,363,73,15
0,101.36,370,74,15
0,102.37,376,76,15
0,103.39,379,76,15
0,104.43,379,76,15
0,105.44,380,76,16
0,106.46,385,77,16
0,107.47,392,79,16
0,108.5,400,80,16
0,109.51,403,81,16
0,110.52,410,82,16
0,111.54,412,83,16
0,112.55,416,84,16
0,113.55,422,85,16
0,114.57,428,86,16
0,115.59,435,87,16
0,116.62,442,89,16
0,117.64,449,90,16
0,118.67,452,91,16
0,119.7,453,91,16
0,120.71,457,92,16
0,122.53,461,92,17
0,123.54,466,94,17
0,124.56,474,95,17
0,125.57,478,96,17
0,126.58,481,97,17
0,127.6,488,98,17
0,128.61,495,99,17
0,129.62,496,100,17
0,130.64,498,100,17
0,131.65,503,100,17
0,132.66,510,100,17
0,133.68,513,100,17
0,134.69,515,100,17
0,135.7,518,100,17
0,136.72,525,100,17
0,137.73,532,100,17
0,138.73,540,100,17
0,139.74,546,100,17
0,140.75,551,100,17
0,141.77,552,100,17
0,142.78,556,100,17
0,144.0,558,100,18
0,145.01,561,100,18
0,146.03,567,100,18
0,147.03,571,100,18
0,148.06,572,100,18
0,149.07,575,100,18
0,150.08,582,100,18
0,151.1,590,100,18
0,152.12,596,100,18
0,153.13,601,100,18
0,154.17,605,100,18
0,155.2,607,100,18
0,156.21,614,100,18
0,157.23,622,100,18
0,158.24,628,100,18
0,159.25,635,100,18
0,160.26,641,100,18
0,161.27,644,100,18
0,162.28,648,100,18
0,163.29,654,100,18
0,164.3,659,100,18
0,165.33,661,100,18
0,166.4,663,100,19
0,167.41,667,100,19
0,168.42,670,100,19
0,169.44,676,100,19
0,170.44,684,100,19
0,171.45,685,100,19
0,172.47,690,100,19
0,173.51,694,100,19
0,174.53,695,100,19
0,175.54,700,100,19
0,176.56,705,100,19
0,177.57,712,100,19
0,178.59,719,100,19
0,179.6,726,100,19
0,180.61,733,100,19
0,181.62,740,100,19
0,182.64,747,100,19
0,183.65,755,100,19
0,184.66,761,100,19
0,186.47,768,100,20
0,187.5,770,100,20
0,188.51,772,100,20
0,189.53,773,100,20
0,190.56,776,100,20
0,191.6,782,100,20
0,192.62,787,100,20
0,193.66,793,100,20
0,194.67,798,100,20
0,195.69,804,100,20
