,TIME,COINS,TENDENCY,SKILL
0,1.8334559319999997,5,1,2
0,1.6763584319999998,11,1,3
0,2.134091132,17,1,4
0,2.1444579049999994,23,1,5
0,2.3184583869999997,29,1,6
0,2.3251841330000005,35,1,7
0,2.44513126,41,1,8
0,4.388396877999998,47,1,9
0,2.8747281539999996,53,1,10
0,4.573196542999998,59,1,11
0,2.3507968619999993,65,1,12
0,5.641874315000003,71,1,13
0,4.801365662999999,77,1,14
0,3.269079904999998,83,1,15
0,2.7751170360000046,89,2,2
0,2.787510477000005,96,2,3
0,3.5852835219999974,103,2,4
0,4.121119229000001,110,2,5
0,2.9110321679999984,117,2,6
0,4.848524655999995,124,2,7
0,4.8871814920000105,131,2,8
0,2.734426968000008,138,2,9
0,4.0608033070000005,145,2,10
0,3.0714051580000046,152,2,11
0,3.5555317150000008,159,2,12
0,3.2086532139999946,166,2,13
0,3.1378211840000034,173,2,14
0,4.518571699999995,180,2,15
0,4.238378354000005,187,3,2
0,3.3080038190000067,195,3,3
0,3.718001524999991,203,3,4
0,3.5203058549999895,211,3,5
0,3.712504497000012,219,3,6
0,2.521677342000004,227,3,7
0,4.4630869600000125,235,3,8
0,3.300444841000001,243,3,9
0,5.0027392840000005,251,3,10
0,4.122436152000006,259,3,11
0,3.8328105979999805,267,3,12
0,3.9483101320000173,275,3,13
0,5.476579887999975,283,3,14
0,5.319835208000001,291,3,15
0,6.826360954999984,299,4,2
0,3.9286256119999905,308,4,3
0,4.092791012999982,317,4,4
0,3.4071008850000055,326,4,5
0,2.8183593100000053,335,4,6
0,1.9322366909999857,344,4,7
0,3.9178539150000233,353,4,8
0,4.353939428000018,362,4,9
0,2.5217860599999824,371,4,10
0,4.824784338000001,380,4,11
0,6.405878319999999,389,4,12
0,5.163149195000017,398,4,13
0,4.816372846999997,407,4,14
0,1.5541864839999846,416,4,15
0,6.354602402000012,425,5,2
0,3.4584272650000116,435,5,3
0,2.1956726960000026,445,5,4
0,4.274609343000009,455,5,5
0,4.107673480000017,465,5,6
0,1.7920294529999978,475,5,7
0,3.0536652529999913,485,5,8
0,1.998363487000006,495,5,9
0,2.823572440000021,505,5,10
0,5.022822984000015,515,5,11
0,4.146574008999977,525,5,12
0,3.7726095479999913,535,5,13
0,4.266422262999981,545,5,14
0,4.482345223999971,555,5,15
0,3.9407975149999857,565,6,2
0,3.469419680000044,576,6,3
0,3.6983001840000043,587,6,4
0,3.9547720840000125,598,6,5
0,4.835014086000001,609,6,6
0,5.344794808000017,620,6,7
0,3.000691281999991,631,6,8
0,3.2937437099999443,642,6,9
0,3.927385405999985,653,6,10
0,3.7848397070000033,664,6,11
0,3.1947282849999965,675,6,12
0,6.183553306000022,686,6,13
0,6.135994721999964,697,6,14
0,4.152683550000006,708,6,15
0,4.067752643000006,719,7,2
0,3.067251308999971,731,7,3
0,3.766849544999957,743,7,4
0,3.383924669999999,755,7,5
0,4.18870530800001,767,7,6
0,3.2067344440000056,779,7,7
0,4.50797067000002,791,7,8
0,4.170288480000011,803,7,9
0,6.011254569000016,815,7,10
0,4.729509633000021,827,7,11
0,6.403419652999958,839,7,12
0,5.547723711999993,851,7,13
0,3.904362627000012,863,7,14
0,5.16974817199997,875,7,15
0,5.010048003999998,887,8,2
0,5.165314529999989,900,8,3
0,4.142827956000019,913,8,4
0,4.182709818000035,926,8,5
0,3.9706022440000197,939,8,6
0,4.841194191,952,8,7
0,4.818705566999995,965,8,8
0,4.039590991000011,978,8,9
0,3.26818513500001,991,8,10
0,5.902596063000033,1004,8,11
0,4.759944517000008,1017,8,12
0,5.824783927999988,1030,8,13
0,4.421314635000044,1043,8,14
0,4.17698427800002,1056,8,15
0,5.387519748999978,1069,9,2
0,4.616967637000016,1083,9,3
0,4.155006422999975,1097,9,4
0,3.609470197999997,1111,9,5
0,4.00729149,1125,9,6
0,4.945138028999963,1139,9,7
0,5.159351040000047,1153,9,8
0,5.632550003000006,1167,9,9
0,4.418553196999994,1181,9,10
0,6.391704775999983,1195,9,11
0,6.568828131000032,1209,9,12
0,7.414467451999997,1223,9,13
0,4.996975587999941,1237,9,14
0,5.739245431000086,1251,9,15
0,7.233300608999912,1265,10,2
0,4.0966634240000985,1280,10,3
0,5.148249085999964,1295,10,4
0,4.134717183000021,1310,10,5
0,4.621233075999953,1325,10,6
0,6.1571619100000134,1340,10,7
0,4.491246970999896,1355,10,8
0,3.9646092159999853,1370,10,9
0,4.232966659999988,1385,10,10
0,5.620435536999935,1400,10,11
0,3.7872749900000144,1415,10,12
0,3.2121711640000967,1430,10,13
0,6.610716559000025,1445,10,14
0,4.965633626999988,1460,10,15
0,6.5161786740000025,1475,11,2
0,4.64241339199998,1491,11,3
0,3.4742414249999456,1507,11,4
0,5.050278583999898,1523,11,5
0,3.591994499000066,1539,11,6
0,2.2395943550000084,1555,11,7
0,4.003062154999952,1571,11,8
0,2.8435449610000205,1587,11,9
0,4.31175684599998,1603,11,10
0,2.4221351479999385,1619,11,11
0,4.974076706999995,1635,11,12
0,5.064546898000003,1651,11,13
0,4.569617054999981,1667,11,14
0,6.032150987000023,1683,11,15
0,5.262940415000003,1699,12,2
0,3.6798136119999754,1716,12,3
0,6.02129272600007,1733,12,4
0,4.527196933999903,1750,12,5
0,4.331873776999942,1767,12,6
0,5.219280909999952,1784,12,7
0,6.457254750999937,1801,12,8
0,3.3845256959999688,1818,12,9
0,8.016725341000097,1835,12,10
0,4.077811313999973,1852,12,11
0,5.4709659359999705,1869,12,12
0,5.993294766999952,1886,12,13
0,4.502125745000058,1903,12,14
0,3.1762175090000255,1920,12,15
0,5.73991907300001,1937,13,2
0,5.2486675890000924,1955,13,3
0,4.289237451999952,1973,13,4
0,2.7793250369999214,1991,13,5
0,5.8405295759999944,2009,13,6
0,7.670212787999958,2027,13,7
0,5.4692367049999575,2045,13,8
0,4.7913566319999745,2063,13,9
0,4.747559690999992,2081,13,10
0,8.071600439000008,2099,13,11
0,6.618564356999968,2117,13,12
0,6.144684777000066,2135,13,13
0,8.264768518999972,2153,13,14
0,3.3345847529999446,2171,13,15
0,7.210994547999917,2189,14,2
0,3.7049631609999096,2208,14,3
0,3.9049074479999035,2227,14,4
0,5.075933158999987,2246,14,5
0,5.475656810000032,2265,14,6
0,3.799341866999953,2284,14,7
0,6.442014540000059,2303,14,8
0,7.842200551000019,2322,14,9
0,6.1932033609999735,2341,14,10
0,6.253474976000007,2360,14,11
0,7.7761201129999336,2379,14,12
0,5.972219066000093,2398,14,13
0,4.923309917999973,2417,14,14
0,5.257233746999987,2436,14,15
0,6.889574519000007,2455,15,2
0,4.929658638000092,2475,15,3
0,3.5845163430000184,2495,15,4
0,3.8734321529999534,2515,15,5
