,TIME,ENEMIES,BULLETS,TENDENCY,SKILL
0,1.04,2,2,1,1
0,2.05,3,3,1,1
0,3.09,5,5,2,2
0,4.1,6,6,2,2
0,5.12,7,7,2,2
0,6.13,9,10,2,2
0,7.13,12,12,3,3
0,8.14,15,15,4,3
0,9.39,19,19,4,4
0,10.43,21,22,5,4
0,11.44,24,24,5,4
0,12.45,25,25,6,4
0,13.46,26,26,6,4
0,14.47,26,26,6,4
0,15.48,27,27,6,4
0,16.49,27,27,6,4
0,17.52,29,30,6,5
0,18.53,32,32,7,5
0,19.54,35,35,8,5
0,20.56,37,38,8,5
0,21.56,38,38,8,5
0,22.58,38,38,8,5
0,23.78,39,39,8,6
0,24.82,41,42,9,6
0,25.84,42,42,9,6
0,26.85,47,47,10,6
0,27.86,47,47,10,6
0,28.88,48,48,10,6
0,29.89,49,49,10,6
0,30.91,50,50,11,6
0,31.92,51,51,11,6
0,32.93,51,51,11,6
0,33.95,55,56,12,7
0,34.97,56,56,12,7
0,35.98,57,57,12,7
0,37.0,58,58,12,7
0,38.01,59,59,12,7
0,39.02,59,59,12,7
0,40.04,59,59,12,7
0,41.05,61,62,13,7
0,42.06,67,68,14,7
0,43.08,68,68,14,8
0,44.09,72,72,15,8
0,45.11,72,72,15,8
0,46.12,74,74,15,8
0,47.16,76,76,16,8
0,48.18,76,77,16,8
0,49.19,77,77,16,8
0,50.2,78,78,16,8
0,51.21,78,78,16,8
0,52.22,82,82,17,8
0,53.24,83,83,17,8
0,54.26,86,86,18,8
0,55.31,86,86,18,8
0,56.33,86,86,18,8
0,57.37,87,88,18,9
0,58.39,88,88,18,9
0,59.43,89,89,18,9
0,60.44,89,89,18,9
0,61.44,90,90,19,9
0,62.47,90,90,19,9
0,63.48,91,92,19,9
0,64.5,98,98,20,9
0,65.52,104,104,21,9
0,66.54,107,108,22,9
0,67.56,108,108,22,9
0,68.57,109,109,22,9
0,69.59,111,111,23,10
0,70.6,111,111,23,10
0,71.63,118,118,24,10
0,72.64,123,124,25,10
0,73.66,128,128,26,10
0,74.68,128,128,26,10
0,75.69,132,132,27,10
0,76.7,132,132,27,10
0,77.72,136,136,28,10
0,78.72,136,136,28,10
0,80.06,137,137,28,11
0,81.07,137,137,28,11
0,82.08,138,138,28,11
0,83.1,139,139,28,11
0,84.11,139,139,28,11
0,85.12,140,140,29,11
0,86.13,143,144,29,11
0,87.15,149,149,30,11
